,Hop,Sequential fund movement step,Hop,Number,,0,0 for seed transaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Type,Classified transaction typology,Transaction Type / Typology,Text,,Transfer,Use consistent categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chain/Network,Blockchain network identifier,Network,Text,,Ethereum,Chain for transaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date/Time (UTC),Transaction timestamp UTC,Timestamp (UTC),Datetime,,2026-02-10 09:15:22,UTC required for evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Block #,Confirmed block height,Block Height,Number,,19234567,From explorer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Method,Smart contract function executed,Function / Method,Text,,transfer,Blank for plain transfers if unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount,Transacted asset quantity,Amount,Number,,100000,"Token units, not fiat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Symbol,Token ticker symbol,Asset Symbol,Text,,USDT,Ticker as displayed in tools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset,Digital asset identifier,Asset,Text,,Tether USD,Full name preferred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contract Address,Token or protocol contract,Token Contract,Text,,0x...,Blank for native ETH if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,Network transaction fee,Gas / Fee,Number,,0.0052,ETH paid or gas used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Txn Hash,Unique transaction identifier,Transaction Hash,Text,,0x...,64 hex chars prefixed 0x.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Txn URL,Block explorer transaction record,Explorer URL,URL,,https://etherscan.io/tx/...,Use stable public URL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doc ID Txn,Evidence reference for transaction,Evidence / Exhibit ID,Text,,DOC.WEB.0001,"Web capture, logs, or exports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Address,Originating wallet address,From Address,Text,,0x...,Sender for the on-chain action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Address URL,Explorer link to source wallet,From Address URL,URL,,https://etherscan.io/address/...,Address page URL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Attribution,Cluster or service attribution,Entity Attribution,Text,,CoinSpot,Based on tool and evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Attribution Doc ID,Evidence supporting attribution,Attribution Evidence,Text,,DOC.ATTR.0100,"KYC, logs, or OSINT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Bal (Pre),Balance before transaction,Balance (Pre),Number,,100000,Per-asset units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Asset (Pre),Asset held pre transaction,Asset (Pre),Text,,USDT,Matches amount asset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Block (Pre),Block height of snapshot,Balance Block (Pre),Number,,19234560,Use nearest block.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Bal (Pre) Doc ID,Evidence for pre balance,Balance Evidence (Pre),Text,,DOC.BAL.0001,Explorer capture or export.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Bal (Post),Balance after transaction,Balance (Post),Number,,0,Per-asset units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Asset (Post),Asset held post transaction,Asset (Post),Text,,USDT,Matches post balance asset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Block (Post),Block height of snapshot,Balance Block (Post),Number,,19234567,Block after inclusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Bal (Post) Doc ID,Evidence for post balance,Balance Evidence (Post),Text,,DOC.BAL.0002,Explorer capture or export.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Delta,Net asset movement,Net Flow,Number,,-100000,Post minus pre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Src Delta Asset,Asset linked to movement,Net Flow Asset,Text,,USDT,Asset for delta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Address,Receiving wallet address,To Address,Text,,0x...,Recipient for the on-chain action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Address URL,Explorer link to destination,To Address URL,URL,,https://etherscan.io/address/...,Address page URL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Attribution,Cluster or service attribution,Entity Attribution,Text,,Scheme on-ramp,Based on tool and evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Attribution Doc ID,Evidence supporting destination attribution,Attribution Evidence,Text,,DOC.ATTR.0100,"KYC, logs, or OSINT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Bal (Pre),Balance before receipt,Balance (Pre),Number,,0,Per-asset units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Asset (Pre),Asset held pre receipt,Asset (Pre),Text,,USDT,Matches amount asset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Block (Pre),Block height of snapshot,Balance Block (Pre),Number,,19234560,Use nearest block.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Bal (Pre) Doc ID,Evidence for pre balance,Balance Evidence (Pre),Text,,DOC.BAL.0100,Explorer capture or export.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Bal (Post),Balance after receipt,Balance (Post),Number,,100000,Per-asset units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Asset (Post),Asset held post receipt,Asset (Post),Text,,USDT,Matches post balance asset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Block (Post),Block height of snapshot,Balance Block (Post),Number,,19234567,Block after inclusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Bal (Post) Doc ID,Evidence for post balance,Balance Evidence (Post),Text,,DOC.BAL.0101,Explorer capture or export.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Delta,Net asset increase,Net Flow,Number,,100000,Post minus pre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dst Delta Asset,Asset linked to increase,Net Flow Asset,Text,,USDT,Asset for delta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tracing Method,Fund attribution methodology applied,Tracing Method,Enum,,Exact Match,Use standardized dropdown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,Analyst investigative notes,Analyst Notes,Text,,See notes,Objective; avoid speculation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity Description,Transaction activity narrative summary,Narrative,Text,,Deposit to on-ramp,Brief and factual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Taxonomy Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,Event Type,Protocol Bucket,Method / Trigger,Economic Character,Trace Row Construction,Counterparty Display,Mandatory Balance Checks,Expected Evidence,Example Txn Hash,Source URL,Court-ready wording,,,,,,,,,,,,,,,,,,,,,,,
,T01,Loan Liquidation Bid - Burn Leg,Hedron / HSI Loan Liquidation,loanLiquidateBid,Bid amount destroyed to take lead position,One row for bidder -> null burn of HDRN,Null address / burn sink,Check bidder HDRN balance pre/post; do not treat null address as beneficial owner,"Decoded input, Transfer log, LoanLiquidateBid event",0xccefa0c1...18e2126a,etherscan.io/tx/0xccefa0c1e243216...2126a,Caller burned HDRN to place a higher bid in an active Hedron liquidation auction.,,,,,,,,,,,,,,,,,,,,,,,
,T02,Loan Liquidation Bid - Refund Leg,Hedron / HSI Loan Liquidation,loanLiquidateBid,Prior highest bid refunded by protocol mint,Separate row for null -> prior bidder mint,Prior bidder wallet,"Check refunded wallet HDRN balance pre/post; source is protocol issuance, not beneficial transfer",Transfer log plus same transaction event context,0x8a7c035a...d94f3602,etherscan.io/tx/0x8a7c035ad1d9b698b...b9d94f3602,Protocol minted the previous highest bid back to the former highest bidder after an outbid.,,,,,,,,,,,,,,,,,,,,,,,
,T03,HDRN Stake Start - Principal Transfer,Icosa / HDRN Staking,hdrnStakeStart,Principal transferred into staking contract,Single row for staker -> Icosa contract transfer,Icosa contract,Check staker HDRN decrease and contract HDRN increase,"Decoded input, HDRN transfer log, HDRNStakeStart event",0x6d1a766b...9b58ee66,etherscan.io/tx/0x6d1a766b5c94a6902...dfe29b58ee66,Caller transferred HDRN to the Icosa contract to open a HDRN staking position.,,,,,,,,,,,,,,,,,,,,,,,
,T04,ICSA Stake End - ICSA Mint Leg,Icosa / ICSA Staking,icsaStakeEnd,ICSA returned by mint on stake exit,Separate row for null -> staker mint of ICSA,Staker wallet,Check staker ICSA pre/post; source is protocol issuance,"Decoded input, ICSA transfer log, ICSAStakeEnd event",0xa02fef6f...076cc430,can.io/tx/0xa02fef6fbe7d79a04749463f60076cc430,Protocol minted ICSA back to the staker upon ending the ICSA stake.,,,,,,,,,,,,,,,,,,,,,,,
,T05,ICSA Stake End - HDRN Payout Leg,Icosa / ICSA Staking,icsaStakeEnd,HDRN payout transferred from contract on stake exit,Separate row for Icosa contract -> staker HDRN transfer,Icosa contract,Check contract HDRN decrease and staker HDRN increase,Transfer log and icsaStakeEnd method,0xa02fef6f...076cc430,therscan.io/tx/0xa02fef6fbe7d79a04...795ff60076cc430,Icosa contract transferred HDRN to the staker as part of the ICSA stake exit.,,,,,,,,,,,,,,,,,,,,,,,
,T06,HDRN Stake End - ICSA Reward Mint Leg,Icosa / HDRN Staking,hdrnStakeEnd,ICSA staking payout minted on exit,Separate row for null -> staker mint of ICSA,Staker wallet,Check staker ICSA pre/post; source is protocol issuance,Transfer log and HDRNStakeEnd event,0x77289ef2...763dab71,therscan.io/tx/0x77289ef280998e.9296d763dab71,Protocol minted ICSA to the staker when the HDRN stake was ended.,,,,,,,,,,,,,,,,,,,,,,,
,T07,HDRN Stake End - HDRN Return Leg,Icosa / HDRN Staking,hdrnStakeEnd,HDRN principal returned from contract on exit,Separate row for Icosa contract -> staker HDRN transfer,Icosa contract,Check contract HDRN decrease and staker HDRN increase,Transfer log and hdrnStakeEnd method,0x77289ef2...763dab71,etherscan.io/tx/0x77289ef280998ec143..d763dab71,Icosa contract returned HDRN to the staker on HDRN stake exit.,,,,,,,,,,,,,,,,,,,,,,,
,T08,HSI Loan Start - HDRN Mint,Hedron / HSI Loan,loanInstanced,HDRN advanced against HSI collateral,Row for null -> borrower mint of HDRN,Borrower wallet,Check borrower HDRN increase and HSI loan status,"Decoded input, LoanStart event, HSI mapping evidence",,//etherscan.io/token/0x3819f64f282bf80daf905e06,Protocol minted HDRN to the borrower as an advance against an HSI-backed position.,,,,,,,,,,,,,,,,,,,,,,,
,T09,HSI Loan Payment / Payoff - Burn,Hedron / HSI Loan,loanPayment or loanPayoff,HDRN destroyed to service or retire HSI advance,Row for borrower -> null burn of HDRN,Null address / burn sink,Check borrower HDRN decrease and HSI loan status update,"Decoded input, LoanPayment or LoanEnd event",,s://etherscan.io/token/0x3819f280daf905e06,Borrower burned HDRN to service or retire an HSI-backed advance.,,,,,,,,,,,,,,,,,,,,,,,
,T10,HSI Tokenization,Hedron / HSI Control,hexStakeTokenize,Control of HSI wrapped into ERC721 token,"Row should describe control change, not cash movement",HSI NFT / holder wallet,Check HSI owner mapping and new tokenId,"Decoded input, HSITokenize event",,herscan.io/token/0x3819f64..af905e06,Existing HSI control was converted into an ERC721 representation.,,,,,,,,,,,,,,,,,,,,,,,
,T11,HSI Detokenization,Hedron / HSI Control,hexStakeDetokenize,Control of HSI restored from ERC721 token,"Row should describe control change, not cash movement",HSI holder wallet,Check token ownership pre and HSI mapping post,"Decoded input, HSIDetokenize event",,herscan.io/token/0x3819f64f0daf905e06,ERC721 control of the HSI was converted back into direct mapped HSI control.,,,,,,,,,,,,,,,,,,,,,,,
,T12,Loan Liquidation Exit - HSI Transfer,Hedron / HSI Loan Liquidation,loanLiquidateExit,Winning bidder receives control of HSI,Row should describe HSI control transfer to winner,Winning bidder wallet,Check HSI mapping from zero-address holding to liquidator,"Decoded input, LoanLiquidateExit event, HSITransfer evidence",,herscan.io/token/0x3819f64280daf905e06,Winning bidder received control of the HSI upon liquidation exit.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,STAKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protocol documentation checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Capture decoded input data, emitted event logs, and any explorer-labelled counterparties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- For burns, record the null address as a protocol sink only and do not describe it as a beneficiary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- For mints, record the null address as protocol issuance origin only and verify the recipient balance increase.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- Replace all mock balance snapshots with block-specific exports or screenshots before filing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAKING SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ref,Txn Hash,Protocol Contract,Protocol Bucket,Method / Stake Event,Position ID / Liquidation ID,Principal / Bid Amount,Lock Terms / Bid Terms,Evidence Doc ID,Source URL,Notes,,,,,,,,,,,,,,,,,,,,,,,,
,EX.001-EX.002,0xccefa0c1...18e2126a,0x3819f64f28...AF905e06,Hedron / HSI Loan Liquidation,loanLiquidateBid,stakeId 680411 / liquidationId 5814,"38,100,000,000 HDRN bid",24-hour auction window; bid replaces prior leader,DOC.WEB.1001,https://etherscan.io/tx/0xccefa0c1e2432164d6b88ee40a07e34765b35c82cdacc10d8bb7a5a518e2126a,Sample Bidder A becomes highest bidder; previous bidder refunded by mint.,,,,,,,,,,,,,,,,,,,,,,,,
,EX.003-EX.004,0x8a7c035a...d94f3602,0x3819f64f28...AF905e06,Hedron / HSI Loan Liquidation,loanLiquidateBid,stakeId 680411 / liquidationId 5814,"39,000,000,000 HDRN bid","Same liquidation sequence, later bid",DOC.WEB.1002,https://etherscan.io/tx/0x8a7c035ad1d9b698be4d6c059cbf0cb53ff4d7cc81d5df49a76120b9d94f3602,Sample Bidder B outbids Sample Bidder A; Sample Bidder A refunded by mint.,,,,,,,,,,,,,,,,,,,,,,,,
,EX.005,0x6d1a766b...9b58ee66,0xfc49132144...88A569ed,Icosa / HDRN Staking,hdrnStakeStart,Address-mapped HDRN stake,"26,070,534.400069513 HDRN",Decoded event indicates 30-day minimum stake length,DOC.WEB.1003,https://etherscan.io/tx/0x6d1a766b5c94a6902865fb315b72ba3bf0cd24a41e4ac75046f4dfe29b58ee66,HDRN principal transferred into Icosa contract.,,,,,,,,,,,,,,,,,,,,,,,,
,EX.006-EX.007,0xa02fef6f...076cc430,0xfc49132144...88A569ed,Icosa / ICSA Staking,icsaStakeEnd,Address-mapped ICSA stake,"9,404.112192469 ICSA minted; 124,744,439.336648576 HDRN paid",Exit leg decomposed into mint and contract payout rows,DOC.WEB.1004,https://etherscan.io/tx/0xa02fef6fbe7d79a04749463dd544b738faefcd9428adf8be8795ff60076cc430,Use two trace rows to avoid blending the ICSA mint leg with the HDRN transfer leg.,,,,,,,,,,,,,,,,,,,,,,,,
,EX.008-EX.009,0x77289ef2...763dab71,0xfc49132144...88A569ed,Icosa / HDRN Staking,hdrnStakeEnd,Address-mapped HDRN stake,"0.000247601 ICSA minted; 9,503,316.295936916 HDRN returned",Exit leg decomposed into mint and contract return rows,DOC.WEB.1005,https://etherscan.io/tx/0x77289ef280998ec14327d86b104c27b4f383f6289ae90a7d6c78296d763dab71,Use separate trace rows for the ICSA reward mint and the HDRN contract return.,,,,,,,,,,,,,,,,,,,,,,,,
,EX.010-EX.011,0xd9d98908...2c53664,0xfc49132144...88A569ed,Icosa / WAATSA NFT Staking,nftStakeStart,WAATSA NFT #9550,"10,000,000,000 HDRN principal",Active NFT stake; payout estimated by read-contract state,DOC.WEB.1006,https://etherscan.io/tx/0xd9d98908d1204a3a178faccacdeec8c575a9eba7b064da6d48c733dad2c53664,Stake start transfers HDRN and mints WAATSA NFT #9550.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,ADVANCED TRACING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Key Controls,,,,,Valuation Controls (Mock Inputs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic legs captured in Trace,12,,,,Analysis / Review Date,46092,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique transaction hashes captured,5,,,,USD/AUD FX at review,1.58,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loan liquidation burn legs,2,,,,USD/AUD FX at stake start,1.54,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loan liquidation refund legs,2,,,,HDRN price USD at sample start,0.0000285,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total HDRN burned in sample bids,77100000000,,,,HDRN price USD at review,0.00004,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total HDRN refunded by mint,76100000000,,,,ICSA price USD at sample start,0.75,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total HDRN transferred into Icosa on stake start,26070534.4,,,,ICSA price USD at review,0.00719783,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total HDRN transferred from Icosa on stake exits,134247755.6,,,,HEX price USD for buy examples,0.02,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total ICSA minted on sample exits,9404.11244,,,,HEX price USD at review,0.03,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,USDT price USD,1,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methodology notes (court-ready wording),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Decompose multi-effect smart contract transactions into one row per economic leg where a single row cannot accurately represent source, destination, and asset logic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- For burn rows, describe the null address as a protocol sink only. For mint rows, describe it as protocol issuance origin only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- In live matters, replace all mock pre/post balances with balance snapshots taken immediately before and after the relevant block height.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Keep activity descriptions short, factual, and protocol-specific. Avoid speculation about beneficial ownership unless separately evidenced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quick references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hedron contract page,https://etherscan.io/token/0x3819f64f282bf135d62168c1e513280daf905e06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Icosa contract page,https://etherscan.io/address/0xfc4913214444af5c715cc9f7b52655e788a569ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample liquidation bid tx A,https://etherscan.io/tx/0xccefa0c1e2432164d6b88ee40a07e34765b35c82cdacc10d8bb7a5a518e2126a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample liquidation bid tx B,https://etherscan.io/tx/0x8a7c035ad1d9b698be4d6c059cbf0cb53ff4d7cc81d5df49a76120b9d94f3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample hdrnStakeStart tx,https://etherscan.io/tx/0x6d1a766b5c94a6902865fb315b72ba3bf0cd24a41e4ac75046f4dfe29b58ee66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAATSA NFT stake start tx,https://etherscan.io/tx/0xd9d98908d1204a3a178faccacdeec8c575a9eba7b064da6d48c733dad2c53664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAATSA NFT transfer to liquidator tx,https://etherscan.io/tx/0x744d8e8508cb6d09c564f2a12362b85130944ea011d58366aa2e03b26b44c166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trading Activity Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mock series for template development. Buys and sells are separated by direction, summed in USD and AUD, and remaining holdings are marked to review-date value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Ref,Trade Date,Direction,Pair,Input Asset,Input Qty,Output Asset,Output Qty,USD Value,USD/AUD FX,AUD Value,Series ID,Status,Notes,,,,,,,,,,,,,,,,,,,,,
,TRD.001,46006,BUY,USDT/HEX,USDT,10000,HEX,500000,10000,1.53,15300,HEX_SERIES_01,Closed,Mock buy 1 of 3,,,,,,,,,,,,,,,,,,,,,
,TRD.002,46025,BUY,USDT/HEX,USDT,10000,HEX,476190.4762,10000,1.54,15400,HEX_SERIES_01,Closed,Mock buy 2 of 3,,,,,,,,,,,,,,,,,,,,,
,TRD.003,46050,BUY,USDT/HEX,USDT,10000,HEX,454545.4545,10000,1.55,15500,HEX_SERIES_01,Partially realised,Mock buy 3 of 3,,,,,,,,,,,,,,,,,,,,,
,TRD.004,46073,SELL,HEX/USDT,HEX,400000,USDT,17000,17000,1.56,26520,HEX_SERIES_01,Closed,Mock sell 1 of 2,,,,,,,,,,,,,,,,,,,,,
,TRD.005,46081,SELL,HEX/USDT,HEX,420000,USDT,18000,18000,1.57,28260,HEX_SERIES_01,Closed,Mock sell 2 of 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trading Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Buy USD,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sell USD,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Realised Trading P/L USD,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Buy AUD,46200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sell AUD,54780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Realised Trading P/L AUD,8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net HEX Units Held,610735.9307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Review Value of Remaining HEX (USD),18322.07792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Review Value of Remaining HEX (AUD),28948.88312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Series Duration (days),75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staking / Investment Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ended positions show realised or exit-based value. Ongoing positions show review-date mark to market. Where terminal yield cannot be known, the worksheet flags the estimate as principal-only or unknown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stake Ref,Position Type,Asset / Protocol,Start Date,End / Review Date,Status,Principal Tokens,Principal USD at Start,Principal AUD at Start,Return Asset Detail,Value USD at Exit / Review,Value AUD at Exit / Review,P/L USD,P/L AUD,Duration Days,Valuation Basis / Notes,,,,,,,,,,,,,,,,,,,
,STK.001,HDRN Stake,HDRN via Icosa,46073,46092,Ongoing,26070534.4,743.0102304,1144.235755,Principal-only estimate; yield unknown,1042.821376,1647.657774,299.8111456,503.4220193,19,Ongoing sample based on hdrnStakeStart example.,,,,,,,,,,,,,,,,,,,
,STK.002,ICSA Stake,ICSA / HDRN via Icosa,46037,46064,Ended,9000,6750,10395,"9,404.112192469 ICSA + 124,744,439.336648576 HDRN",5057.466774,7990.797503,-1692.533226,-2404.202497,27,Ended sample combines returned ICSA and HDRN payout.,,,,,,,,,,,,,,,,,,,
,STK.003,HDRN Stake,HDRN via Icosa,46054,46073,Ended,10000000,285,438.9,"9,503,316.295936916 HDRN + 0.000247601 ICSA",380.1326536,600.6095927,95.13265362,161.7095927,19,Ended sample combines returned HDRN and small ICSA reward mint.,,,,,,,,,,,,,,,,,,,
,STK.004,WAATSA NFT Stake,WAATSA / Icosa (NFT #9550),45074,46092,Ongoing,10000000000,285.03,438.9462,"Estimated 69,606.989267914 ICSA on nftStakeEnd()",501.0192756,791.6104554,215.9892756,352.6642554,1018,Active WAATSA NFT position controlled by liquidator wallet; value derived from Icosa contract read state and Etherscan ICSA price.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staking Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
